TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,LBM/S,FT/S,PSIA,BTU/R-Sec,In2
0.106000E+02,0.171529E-01,0.103052E+04,0.799271E+02,0.000000E+00,0.785000E-02
0.107000E+02,0.171454E-01,0.103043E+04,0.798781E+02,0.000000E+00,0.785000E-02
0.108000E+02,0.171379E-01,0.103035E+04,0.798291E+02,0.000000E+00,0.785000E-02
0.109000E+02,0.171304E-01,0.103027E+04,0.797801E+02,0.000000E+00,0.785000E-02
0.110000E+02,0.171230E-01,0.103018E+04,0.797312E+02,0.000000E+00,0.785000E-02
0.111000E+02,0.171155E-01,0.103010E+04,0.796823E+02,0.000000E+00,0.785000E-02
0.112000E+02,0.171080E-01,0.103002E+04,0.796335E+02,0.000000E+00,0.785000E-02
0.113000E+02,0.171005E-01,0.102993E+04,0.795847E+02,0.000000E+00,0.785000E-02
0.114000E+02,0.170931E-01,0.102985E+04,0.795359E+02,0.000000E+00,0.785000E-02
0.115000E+02,0.170856E-01,0.102977E+04,0.794871E+02,0.000000E+00,0.785000E-02
0.116000E+02,0.170781E-01,0.102968E+04,0.794384E+02,0.000000E+00,0.785000E-02
0.117000E+02,0.170707E-01,0.102960E+04,0.793897E+02,0.000000E+00,0.785000E-02
0.118000E+02,0.170632E-01,0.102952E+04,0.793410E+02,0.000000E+00,0.785000E-02
0.119000E+02,0.170558E-01,0.102943E+04,0.792923E+02,0.000000E+00,0.785000E-02
0.120000E+02,0.170483E-01,0.102935E+04,0.792437E+02,0.000000E+00,0.785000E-02
0.121000E+02,0.170409E-01,0.102927E+04,0.791951E+02,0.000000E+00,0.785000E-02
0.122000E+02,0.170335E-01,0.102918E+04,0.791465E+02,0.000000E+00,0.785000E-02
0.123000E+02,0.170260E-01,0.102910E+04,0.790980E+02,0.000000E+00,0.785000E-02
0.124000E+02,0.170186E-01,0.102902E+04,0.790495E+02,0.000000E+00,0.785000E-02
0.125000E+02,0.170112E-01,0.102893E+04,0.790010E+02,0.000000E+00,0.785000E-02
0.126000E+02,0.170038E-01,0.102885E+04,0.789526E+02,0.000000E+00,0.785000E-02
0.127000E+02,0.169963E-01,0.102877E+04,0.789042E+02,0.000000E+00,0.785000E-02
0.128000E+02,0.169889E-01,0.102868E+04,0.788558E+02,0.000000E+00,0.785000E-02
0.129000E+02,0.169815E-01,0.102860E+04,0.788074E+02,0.000000E+00,0.785000E-02
0.130000E+02,0.169741E-01,0.102852E+04,0.787591E+02,0.000000E+00,0.785000E-02
0.131000E+02,0.169667E-01,0.102843E+04,0.787108E+02,0.000000E+00,0.785000E-02
0.132000E+02,0.169593E-01,0.102835E+04,0.786625E+02,0.000000E+00,0.785000E-02
0.133000E+02,0.169519E-01,0.102827E+04,0.786143E+02,0.000000E+00,0.785000E-02
0.134000E+02,0.169445E-01,0.102819E+04,0.785660E+02,0.000000E+00,0.785000E-02
0.135000E+02,0.169371E-01,0.102810E+04,0.785179E+02,0.000000E+00,0.785000E-02
0.136000E+02,0.169298E-01,0.102802E+04,0.784697E+02,0.000000E+00,0.785000E-02
0.137000E+02,0.169224E-01,0.102794E+04,0.784216E+02,0.000000E+00,0.785000E-02
0.138000E+02,0.169150E-01,0.102785E+04,0.783735E+02,0.000000E+00,0.785000E-02
0.139000E+02,0.169076E-01,0.102777E+04,0.783254E+02,0.000000E+00,0.785000E-02
0.140000E+02,0.169003E-01,0.102769E+04,0.782773E+02,0.000000E+00,0.785000E-02
0.141000E+02,0.168929E-01,0.102760E+04,0.782293E+02,0.000000E+00,0.785000E-02
0.142000E+02,0.168855E-01,0.102752E+04,0.781813E+02,0.000000E+00,0.785000E-02
0.143000E+02,0.168782E-01,0.102744E+04,0.781334E+02,0.000000E+00,0.785000E-02
0.144000E+02,0.168708E-01,0.102736E+04,0.780855E+02,0.000000E+00,0.785000E-02
0.145000E+02,0.168635E-01,0.102727E+04,0.780376E+02,0.000000E+00,0.785000E-02
0.146000E+02,0.168561E-01,0.102719E+04,0.779897E+02,0.000000E+00,0.785000E-02
0.147000E+02,0.168488E-01,0.102711E+04,0.779418E+02,0.000000E+00,0.785000E-02
0.148000E+02,0.168415E-01,0.102702E+04,0.778940E+02,0.000000E+00,0.785000E-02
0.149000E+02,0.168341E-01,0.102694E+04,0.778462E+02,0.000000E+00,0.785000E-02
0.150000E+02,0.168268E-01,0.102686E+04,0.777985E+02,0.000000E+00,0.785000E-02
0.151000E+02,0.168195E-01,0.102677E+04,0.777507E+02,0.000000E+00,0.785000E-02
0.152000E+02,0.168121E-01,0.102669E+04,0.777030E+02,0.000000E+00,0.785000E-02
0.153000E+02,0.168048E-01,0.102661E+04,0.776554E+02,0.000000E+00,0.785000E-02
0.154000E+02,0.167975E-01,0.102653E+04,0.776077E+02,0.000000E+00,0.785000E-02
0.155000E+02,0.167902E-01,0.102644E+04,0.775601E+02,0.000000E+00,0.785000E-02
0.156000E+02,0.167829E-01,0.102636E+04,0.775125E+02,0.000000E+00,0.785000E-02
0.157000E+02,0.167756E-01,0.102628E+04,0.774650E+02,0.000000E+00,0.785000E-02
0.158000E+02,0.167683E-01,0.102620E+04,0.774174E+02,0.000000E+00,0.785000E-02
0.159000E+02,0.167610E-01,0.102611E+04,0.773699E+02,0.000000E+00,0.785000E-02
0.160000E+02,0.167537E-01,0.102603E+04,0.773225E+02,0.000000E+00,0.785000E-02
0.161000E+02,0.167464E-01,0.102595E+04,0.772750E+02,0.000000E+00,0.785000E-02
0.162000E+02,0.167391E-01,0.102586E+04,0.772276E+02,0.000000E+00,0.785000E-02
0.163000E+02,0.167318E-01,0.102578E+04,0.771802E+02,0.000000E+00,0.785000E-02
0.164000E+02,0.167246E-01,0.102570E+04,0.771329E+02,0.000000E+00,0.785000E-02
0.165000E+02,0.167173E-01,0.102562E+04,0.770855E+02,0.000000E+00,0.785000E-02
0.166000E+02,0.167100E-01,0.102553E+04,0.770382E+02,0.000000E+00,0.785000E-02
0.167000E+02,0.167028E-01,0.102545E+04,0.769909E+02,0.000000E+00,0.785000E-02
0.168000E+02,0.166955E-01,0.102537E+04,0.769437E+02,0.000000E+00,0.785000E-02
0.169000E+02,0.166882E-01,0.102529E+04,0.768965E+02,0.000000E+00,0.785000E-02
0.170000E+02,0.166810E-01,0.102520E+04,0.768493E+02,0.000000E+00,0.785000E-02
0.171000E+02,0.166737E-01,0.102512E+04,0.768021E+02,0.000000E+00,0.785000E-02
0.172000E+02,0.166665E-01,0.102504E+04,0.767550E+02,0.000000E+00,0.785000E-02
0.173000E+02,0.166592E-01,0.102496E+04,0.767079E+02,0.000000E+00,0.785000E-02
0.174000E+02,0.166520E-01,0.102487E+04,0.766608E+02,0.000000E+00,0.785000E-02
0.175000E+02,0.166448E-01,0.102479E+04,0.766137E+02,0.000000E+00,0.785000E-02
0.176000E+02,0.166375E-01,0.102471E+04,0.765667E+02,0.000000E+00,0.785000E-02
0.177000E+02,0.166303E-01,0.102463E+04,0.765197E+02,0.000000E+00,0.785000E-02
0.178000E+02,0.166231E-01,0.102454E+04,0.764728E+02,0.000000E+00,0.785000E-02
0.179000E+02,0.166159E-01,0.102446E+04,0.764258E+02,0.000000E+00,0.785000E-02
0.180000E+02,0.166087E-01,0.102438E+04,0.763789E+02,0.000000E+00,0.785000E-02
0.181000E+02,0.166014E-01,0.102430E+04,0.763320E+02,0.000000E+00,0.785000E-02
0.182000E+02,0.165942E-01,0.102421E+04,0.762852E+02,0.000000E+00,0.785000E-02
0.183000E+02,0.165870E-01,0.102413E+04,0.762383E+02,0.000000E+00,0.785000E-02
0.184000E+02,0.165798E-01,0.102405E+04,0.761915E+02,0.000000E+00,0.785000E-02
0.185000E+02,0.165726E-01,0.102397E+04,0.761448E+02,0.000000E+00,0.785000E-02
0.186000E+02,0.165654E-01,0.102388E+04,0.760980E+02,0.000000E+00,0.785000E-02
0.187000E+02,0.165582E-01,0.102380E+04,0.760513E+02,0.000000E+00,0.785000E-02
0.188000E+02,0.165510E-01,0.102372E+04,0.760046E+02,0.000000E+00,0.785000E-02
0.189000E+02,0.165439E-01,0.102364E+04,0.759580E+02,0.000000E+00,0.785000E-02
0.190000E+02,0.165367E-01,0.102355E+04,0.759113E+02,0.000000E+00,0.785000E-02
0.191000E+02,0.165295E-01,0.102347E+04,0.758647E+02,0.000000E+00,0.785000E-02
0.192000E+02,0.165223E-01,0.102339E+04,0.758181E+02,0.000000E+00,0.785000E-02
0.193000E+02,0.165152E-01,0.102331E+04,0.757716E+02,0.000000E+00,0.785000E-02
0.194000E+02,0.165080E-01,0.102323E+04,0.757251E+02,0.000000E+00,0.785000E-02
0.195000E+02,0.165008E-01,0.102314E+04,0.756786E+02,0.000000E+00,0.785000E-02
0.196000E+02,0.164937E-01,0.102306E+04,0.756321E+02,0.000000E+00,0.785000E-02
0.197000E+02,0.164865E-01,0.102298E+04,0.755857E+02,0.000000E+00,0.785000E-02
0.198000E+02,0.164794E-01,0.102290E+04,0.755393E+02,0.000000E+00,0.785000E-02
0.199000E+02,0.164722E-01,0.102281E+04,0.754929E+02,0.000000E+00,0.785000E-02
0.200000E+02,0.164651E-01,0.102273E+04,0.754465E+02,0.000000E+00,0.785000E-02
0.201000E+02,0.164579E-01,0.102265E+04,0.754002E+02,0.000000E+00,0.785000E-02
0.202000E+02,0.164508E-01,0.102257E+04,0.753539E+02,0.000000E+00,0.785000E-02
0.203000E+02,0.164437E-01,0.102249E+04,0.753076E+02,0.000000E+00,0.785000E-02
0.204000E+02,0.164365E-01,0.102240E+04,0.752614E+02,0.000000E+00,0.785000E-02
