TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,KG/S,M/S,kPa,KJ/K-S,M^2
0.103000E+02,0.779019E-02,0.314173E+03,0.552125E+03,0.000000E+00,0.506451E-05
0.104000E+02,0.778678E-02,0.314148E+03,0.551786E+03,0.000000E+00,0.506451E-05
0.105000E+02,0.778338E-02,0.314122E+03,0.551448E+03,0.000000E+00,0.506451E-05
0.106000E+02,0.777998E-02,0.314097E+03,0.551110E+03,0.000000E+00,0.506451E-05
0.107000E+02,0.777658E-02,0.314072E+03,0.550772E+03,0.000000E+00,0.506451E-05
0.108000E+02,0.777318E-02,0.314046E+03,0.550435E+03,0.000000E+00,0.506451E-05
0.109000E+02,0.776979E-02,0.314021E+03,0.550097E+03,0.000000E+00,0.506451E-05
0.110000E+02,0.776639E-02,0.313995E+03,0.549760E+03,0.000000E+00,0.506451E-05
0.111000E+02,0.776300E-02,0.313970E+03,0.549423E+03,0.000000E+00,0.506451E-05
0.112000E+02,0.775961E-02,0.313945E+03,0.549086E+03,0.000000E+00,0.506451E-05
0.113000E+02,0.775622E-02,0.313919E+03,0.548749E+03,0.000000E+00,0.506451E-05
0.114000E+02,0.775284E-02,0.313894E+03,0.548413E+03,0.000000E+00,0.506451E-05
0.115000E+02,0.774945E-02,0.313868E+03,0.548077E+03,0.000000E+00,0.506451E-05
0.116000E+02,0.774607E-02,0.313843E+03,0.547741E+03,0.000000E+00,0.506451E-05
0.117000E+02,0.774269E-02,0.313818E+03,0.547405E+03,0.000000E+00,0.506451E-05
0.118000E+02,0.773931E-02,0.313792E+03,0.547069E+03,0.000000E+00,0.506451E-05
0.119000E+02,0.773593E-02,0.313767E+03,0.546734E+03,0.000000E+00,0.506451E-05
0.120000E+02,0.773255E-02,0.313741E+03,0.546399E+03,0.000000E+00,0.506451E-05
0.121000E+02,0.772918E-02,0.313716E+03,0.546064E+03,0.000000E+00,0.506451E-05
0.122000E+02,0.772581E-02,0.313691E+03,0.545729E+03,0.000000E+00,0.506451E-05
0.123000E+02,0.772243E-02,0.313665E+03,0.545394E+03,0.000000E+00,0.506451E-05
0.124000E+02,0.771907E-02,0.313640E+03,0.545060E+03,0.000000E+00,0.506451E-05
0.125000E+02,0.771570E-02,0.313615E+03,0.544726E+03,0.000000E+00,0.506451E-05
0.126000E+02,0.771233E-02,0.313589E+03,0.544392E+03,0.000000E+00,0.506451E-05
0.127000E+02,0.770897E-02,0.313564E+03,0.544058E+03,0.000000E+00,0.506451E-05
0.128000E+02,0.770561E-02,0.313539E+03,0.543724E+03,0.000000E+00,0.506451E-05
0.129000E+02,0.770225E-02,0.313513E+03,0.543391E+03,0.000000E+00,0.506451E-05
0.130000E+02,0.769889E-02,0.313488E+03,0.543058E+03,0.000000E+00,0.506451E-05
0.131000E+02,0.769553E-02,0.313463E+03,0.542725E+03,0.000000E+00,0.506451E-05
0.132000E+02,0.769217E-02,0.313437E+03,0.542392E+03,0.000000E+00,0.506451E-05
0.133000E+02,0.768882E-02,0.313412E+03,0.542059E+03,0.000000E+00,0.506451E-05
0.134000E+02,0.768547E-02,0.313387E+03,0.541727E+03,0.000000E+00,0.506451E-05
0.135000E+02,0.768212E-02,0.313361E+03,0.541395E+03,0.000000E+00,0.506451E-05
0.136000E+02,0.767877E-02,0.313336E+03,0.541063E+03,0.000000E+00,0.506451E-05
0.137000E+02,0.767542E-02,0.313311E+03,0.540731E+03,0.000000E+00,0.506451E-05
0.138000E+02,0.767208E-02,0.313286E+03,0.540399E+03,0.000000E+00,0.506451E-05
0.139000E+02,0.766874E-02,0.313260E+03,0.540068E+03,0.000000E+00,0.506451E-05
0.140000E+02,0.766539E-02,0.313235E+03,0.539737E+03,0.000000E+00,0.506451E-05
0.141000E+02,0.766206E-02,0.313210E+03,0.539406E+03,0.000000E+00,0.506451E-05
0.142000E+02,0.765872E-02,0.313184E+03,0.539075E+03,0.000000E+00,0.506451E-05
0.143000E+02,0.765538E-02,0.313159E+03,0.538744E+03,0.000000E+00,0.506451E-05
0.144000E+02,0.765205E-02,0.313134E+03,0.538414E+03,0.000000E+00,0.506451E-05
0.145000E+02,0.764871E-02,0.313109E+03,0.538084E+03,0.000000E+00,0.506451E-05
0.146000E+02,0.764538E-02,0.313083E+03,0.537753E+03,0.000000E+00,0.506451E-05
0.147000E+02,0.764205E-02,0.313058E+03,0.537424E+03,0.000000E+00,0.506451E-05
0.148000E+02,0.763873E-02,0.313033E+03,0.537094E+03,0.000000E+00,0.506451E-05
